employee_id,avg_leadership_score,completed_mentorships,last_promotion_status,high_potential_flag,promotion_ready_flag
10882,2.33,4,not_promoted,no,yes
10883,2.995,0,promoted,no,no
10885,3.595,2,not_promoted,yes,yes
10886,3.135,0,unknown,no,no
10889,3.513333333333333,0,promoted,yes,no
10892,2.5325,0,not_promoted,no,no
10898,4.94,1,promoted,yes,no
10899,3.5,1,unknown,yes,no
10900,3.2383333333333333,2,not_promoted,no,yes
10904,2.91,1,unknown,no,no
10906,3.56,3,promoted,yes,no
10908,0.0,2,not_promoted,no,yes
10913,3.958,0,promoted,yes,no
10918,3.11,2,promoted,no,no
10920,2.3,1,promoted,no,no
10926,3.391666666666666,1,promoted,no,no
10929,3.83,2,not_promoted,yes,yes
10932,0.0,1,promoted,no,no
10939,2.436666666666667,0,not_promoted,no,no
10940,3.31,1,promoted,no,no
10941,3.615,0,promoted,yes,no
10943,1.75,2,promoted,no,no
10945,1.21,2,promoted,no,no
10946,3.331666666666667,0,not_promoted,no,no
10947,3.025,1,promoted,no,no
10950,0.0,2,promoted,no,no
10951,0.0,1,promoted,no,no
10954,3.278,3,not_promoted,no,yes
10957,2.25,1,promoted,no,no
10962,2.41,3,promoted,no,no
10969,3.4,0,not_promoted,no,no
10972,3.76,1,not_promoted,yes,no
10975,3.75,0,promoted,yes,no
10976,1.18,0,promoted,no,no
10980,2.106666666666667,0,not_promoted,no,no
10981,0.0,1,not_promoted,no,no
10987,4.02,0,not_promoted,yes,no
10988,3.936666666666667,1,not_promoted,yes,no
10993,2.88,1,unknown,no,no
10995,3.27,0,promoted,no,no
10996,3.4133333333333336,1,not_promoted,no,no
10998,2.09,0,promoted,no,no
10999,3.11,2,promoted,no,no
11003,4.123333333333333,2,not_promoted,yes,yes
11005,3.52,2,not_promoted,yes,yes
11011,2.7116666666666664,0,promoted,no,no
11012,2.38,2,promoted,no,no
11017,4.2,0,not_promoted,yes,no
11022,4.3925,1,promoted,yes,no
11039,3.72,1,not_promoted,yes,no
11057,3.655,1,not_promoted,yes,no
11059,1.935,2,not_promoted,no,yes
11061,2.965,1,promoted,no,no
11062,2.42,0,not_promoted,no,no
11070,2.986666666666667,3,not_promoted,no,yes
11071,2.893333333333333,1,not_promoted,no,no
11073,3.69,1,not_promoted,yes,no
11096,3.13,2,promoted,no,no
11098,3.3425,0,not_promoted,no,no
11108,2.3,3,not_promoted,no,yes
11114,2.15,2,not_promoted,no,yes
11115,1.31,0,promoted,no,no
11117,2.8425,2,not_promoted,no,yes
11127,3.2262500000000003,1,not_promoted,no,no
11131,3.45,0,promoted,no,no
11138,2.706666666666667,0,promoted,no,no
11141,0.0,0,not_promoted,no,no
11145,2.83,1,not_promoted,no,no
11148,3.165,2,promoted,no,no
11150,2.6566666666666667,0,promoted,no,no
11152,3.186666666666666,1,not_promoted,no,no
11154,3.99,2,not_promoted,yes,yes
11157,3.563333333333334,1,promoted,yes,no
11160,2.313333333333333,1,not_promoted,no,no
11163,3.285,0,promoted,no,no
11165,3.216666666666667,0,not_promoted,no,no
11171,3.855,1,not_promoted,yes,no
11172,2.8625000000000003,1,not_promoted,no,no
11176,2.54,0,promoted,no,no
11177,2.462,1,promoted,no,no
11178,1.28,0,not_promoted,no,no
11179,3.635,1,not_promoted,yes,no
11182,0.0,2,not_promoted,no,yes
11190,4.36,1,not_promoted,yes,no
11195,2.59,0,promoted,no,no
11197,2.1333333333333333,2,not_promoted,no,yes
11209,2.9,1,not_promoted,no,no
11210,1.98,0,not_promoted,no,no
11213,3.283333333333333,2,promoted,no,no
11225,4.193333333333334,1,not_promoted,yes,no
11229,2.7099999999999995,1,not_promoted,no,no
11232,4.5,0,promoted,yes,no
11239,2.0466666666666664,0,promoted,no,no
11240,2.5333333333333337,4,not_promoted,no,yes
11241,4.359999999999999,1,promoted,yes,no
11242,3.81,0,promoted,yes,no
11243,4.02,0,promoted,yes,no
11244,3.76,1,not_promoted,yes,no
11248,2.77,2,promoted,no,no
11249,3.095,0,not_promoted,no,no
11252,3.2379999999999995,1,unknown,no,no
11254,3.895,2,promoted,yes,no
11257,3.2350000000000003,2,promoted,no,no
11258,2.99,3,promoted,no,no
11260,4.23,2,promoted,yes,no
11263,2.7566666666666664,2,not_promoted,no,yes
11268,2.35,0,promoted,no,no
11269,3.606666666666667,1,promoted,yes,no
11275,3.08,1,not_promoted,no,no
11282,1.9766666666666668,0,not_promoted,no,no
11283,3.3725,1,promoted,no,no
11290,4.285,0,not_promoted,yes,no
11293,2.8475,1,promoted,no,no
11294,3.136,0,not_promoted,no,no
11298,0.0,0,promoted,no,no
11300,3.44,2,promoted,no,no
11303,0.0,3,promoted,no,no
11306,0.0,1,not_promoted,no,no
11307,3.716,1,not_promoted,yes,no
11311,3.655,0,not_promoted,yes,no
11314,1.02,0,not_promoted,no,no
11317,2.2033333333333336,2,promoted,no,no
11321,2.7299999999999995,0,promoted,no,no
11322,2.711428571428571,0,not_promoted,no,no
11333,3.083333333333333,0,promoted,no,no
11337,3.6633333333333336,0,not_promoted,yes,no
11339,2.553333333333333,0,promoted,no,no
11343,3.21,0,promoted,no,no
11350,3.6,2,not_promoted,yes,yes
11353,3.86,1,promoted,yes,no
11356,2.9450000000000003,2,not_promoted,no,yes
11359,1.085,0,promoted,no,no
11362,3.45,3,unknown,no,yes
11363,0.0,1,not_promoted,no,no
11373,3.69,1,promoted,yes,no
11374,3.125,0,not_promoted,no,no
11382,3.296666666666667,5,not_promoted,no,yes
11396,3.305,2,not_promoted,no,yes
11404,2.61,1,promoted,no,no
11405,0.0,1,not_promoted,no,no
11407,2.75125,2,not_promoted,no,yes
11409,3.556666666666666,1,not_promoted,yes,no
11411,3.406666666666668,4,promoted,no,no
11421,2.99,1,not_promoted,no,no
11422,4.42,1,not_promoted,yes,no
11427,3.06,1,not_promoted,no,no
11432,3.11,0,promoted,no,no
11436,4.44,0,promoted,yes,no
11440,3.125,2,promoted,no,no
11443,2.5066666666666664,0,promoted,no,no
11448,2.756,1,not_promoted,no,no
11449,1.8575,0,promoted,no,no
11455,2.5,1,promoted,no,no
11457,2.41,0,not_promoted,no,no
11465,2.72,0,not_promoted,no,no
11469,2.8,1,not_promoted,no,no
11474,3.1366666666666667,1,unknown,no,no
11481,4.74,0,not_promoted,yes,no
11483,4.06,2,not_promoted,yes,yes
11486,2.7099999999999995,1,promoted,no,no
11492,4.205,1,promoted,yes,no
11495,2.3833333333333333,1,not_promoted,no,no
11500,3.16,1,promoted,no,no
11502,0.0,0,promoted,no,no
11508,2.4625,0,promoted,no,no
11509,2.596,0,promoted,no,no
11511,3.5499999999999994,1,not_promoted,yes,no
11527,2.24,0,not_promoted,no,no
11532,3.0200000000000005,0,promoted,no,no
11534,3.1,0,promoted,no,no
11536,1.75,1,promoted,no,no
11541,2.66,0,promoted,no,no
11542,1.13,2,not_promoted,no,yes
11544,3.033333333333333,0,promoted,no,no
11550,4.58,2,not_promoted,yes,yes
11565,1.61,4,not_promoted,no,yes
11567,1.9566666666666663,0,not_promoted,no,no
11568,2.88,1,not_promoted,no,no
11579,3.965,1,promoted,yes,no
11580,0.0,1,unknown,no,no
11582,3.795,1,promoted,yes,no
11597,2.8520000000000003,0,promoted,no,no
11603,3.185,2,promoted,no,no
11604,2.77,0,not_promoted,no,no
11605,1.5200000000000002,3,promoted,no,no
11613,0.0,1,not_promoted,no,no
11614,3.275,0,not_promoted,no,no
11626,2.54,0,not_promoted,no,no
11631,2.8475,1,not_promoted,no,no
11642,3.2300000000000004,1,not_promoted,no,no
11643,3.673333333333333,2,unknown,yes,yes
11645,3.12,1,promoted,no,no
11648,2.88,0,promoted,no,no
11649,4.123333333333334,1,not_promoted,yes,no
11651,2.18,0,not_promoted,no,no
11656,3.21,2,not_promoted,no,yes
11660,3.845,0,not_promoted,yes,no
11680,3.303333333333333,0,promoted,no,no
11689,1.31,1,promoted,no,no
11692,4.565,1,not_promoted,yes,no
11694,1.47,0,promoted,no,no
11702,1.4049999999999998,1,not_promoted,no,no
11707,2.38,0,promoted,no,no
11711,2.672,1,not_promoted,no,no
11715,1.63,2,not_promoted,no,yes
11731,2.26,0,promoted,no,no
11738,1.865,0,promoted,no,no
11742,4.010000000000001,0,not_promoted,yes,no
11750,2.64,1,promoted,no,no
11767,3.664999999999999,1,not_promoted,yes,no
11768,1.57,1,promoted,no,no
11769,3.273333333333333,1,promoted,no,no
11776,1.97,2,promoted,no,no
11777,2.265,1,promoted,no,no
11779,3.59,1,promoted,yes,no
11785,4.84,0,promoted,yes,no
11786,2.8200000000000003,0,unknown,no,no
11788,2.88,2,promoted,no,no
11790,3.353333333333333,0,not_promoted,no,no
11796,2.96,0,promoted,no,no
11798,2.39,2,not_promoted,no,yes
11799,3.12,1,not_promoted,no,no
11800,3.1350000000000007,1,promoted,no,no
11802,2.4925,1,unknown,no,no
11805,3.1466666666666665,1,promoted,no,no
11806,0.0,0,promoted,no,no
11807,2.47,0,not_promoted,no,no
11813,2.043333333333333,2,promoted,no,no
11824,4.37,1,promoted,yes,no
11829,2.75,0,not_promoted,no,no
11834,2.655,0,not_promoted,no,no
11836,3.7433333333333336,1,not_promoted,yes,no
11838,2.556666666666666,0,not_promoted,no,no
11839,2.3200000000000003,1,not_promoted,no,no
11842,4.202,3,promoted,yes,no
11843,2.2750000000000004,0,promoted,no,no
11844,3.1225,2,not_promoted,no,yes
11849,3.983333333333333,1,promoted,yes,no
11859,2.14,1,not_promoted,no,no
11863,3.11,1,not_promoted,no,no
11866,1.88,0,promoted,no,no
11868,0.0,2,not_promoted,no,yes
11870,3.4233333333333333,0,promoted,no,no
11872,3.67,0,promoted,yes,no
11878,2.85,1,promoted,no,no
11881,3.34,1,promoted,no,no
11892,2.425,0,promoted,no,no
11895,2.945,2,unknown,no,yes
11896,3.925,0,not_promoted,yes,no
11898,3.475,1,promoted,no,no
11902,1.82,2,not_promoted,no,yes
11903,2.66,0,not_promoted,no,no
11904,2.936666666666667,1,promoted,no,no
11910,4.47,0,promoted,yes,no
11911,2.52,0,not_promoted,no,no
11913,3.88,0,not_promoted,yes,no
11914,3.92,0,promoted,yes,no
11915,2.1,0,promoted,no,no
11919,2.455,1,promoted,no,no
11926,2.7375,2,promoted,no,no
11927,3.475,0,promoted,no,no
11930,1.21,1,not_promoted,no,no
11934,4.88,0,not_promoted,yes,no
11936,3.16,1,promoted,no,no
11937,2.758,1,promoted,no,no
11945,3.2,0,promoted,no,no
11948,3.1733333333333333,1,not_promoted,no,no
11950,1.8675,1,not_promoted,no,no
11951,2.63,1,not_promoted,no,no
11954,3.8475,1,promoted,yes,no
11955,3.065,1,promoted,no,no
11962,2.885,0,promoted,no,no
11976,2.39,0,not_promoted,no,no
11980,2.0500000000000003,1,not_promoted,no,no
11982,3.856666666666667,0,not_promoted,yes,no
11984,3.296666666666667,0,not_promoted,no,no
11993,0.0,1,promoted,no,no
11995,1.41,1,not_promoted,no,no
11998,3.24,0,not_promoted,no,no
12001,3.34,0,not_promoted,no,no
12008,3.11,2,not_promoted,no,yes
12009,1.02,0,promoted,no,no
12020,3.17,0,promoted,no,no
12023,2.442,3,promoted,no,no
12025,3.97,2,not_promoted,yes,yes
12033,3.5625,2,not_promoted,yes,yes
12035,3.096,0,promoted,no,no
12040,3.96,1,not_promoted,yes,no
12041,2.935,1,promoted,no,no
12044,4.095,0,promoted,yes,no
12052,1.69,1,not_promoted,no,no
12053,2.965,0,not_promoted,no,no
12055,2.38,0,not_promoted,no,no
12057,2.5325,0,promoted,no,no
12060,0.0,1,not_promoted,no,no
12066,4.19,0,promoted,yes,no
12067,2.9,0,not_promoted,no,no
12074,0.0,1,not_promoted,no,no
12075,1.83,0,not_promoted,no,no
12079,4.031666666666666,1,promoted,yes,no
12081,3.995,1,promoted,yes,no
12084,2.965,0,not_promoted,no,no
12097,2.515,2,promoted,no,no
12098,3.2920000000000003,0,promoted,no,no
12099,2.08,0,promoted,no,no
12101,1.51,0,promoted,no,no
12107,3.08,0,promoted,no,no
12110,3.0675,0,not_promoted,no,no
12111,2.5933333333333337,0,promoted,no,no
12117,2.652,1,promoted,no,no
12122,4.066666666666666,2,not_promoted,yes,yes
12125,2.45,0,promoted,no,no
12128,3.434285714285714,1,promoted,no,no
12130,3.385,0,promoted,no,no
12133,3.85,1,not_promoted,yes,no
12142,2.714,1,promoted,no,no
12144,3.73,0,not_promoted,yes,no
12151,2.13,2,not_promoted,no,yes
12154,2.1466666666666665,0,not_promoted,no,no
12155,0.0,1,promoted,no,no
12159,2.4,2,promoted,no,no
12162,3.1,3,not_promoted,no,yes
12165,3.832500000000001,1,not_promoted,yes,no
12175,3.0333333333333337,2,not_promoted,no,yes
12176,3.69,1,promoted,yes,no
12178,3.1175,1,not_promoted,no,no
12180,3.6016666666666666,1,promoted,yes,no
12182,3.402,0,promoted,no,no
12183,3.5875000000000004,1,not_promoted,yes,no
12188,3.1525,2,not_promoted,no,yes
12193,4.096666666666667,0,not_promoted,yes,no
12194,2.4,0,not_promoted,no,no
12197,3.91,1,promoted,yes,no
12205,3.0875000000000004,0,not_promoted,no,no
12211,3.8775,1,promoted,yes,no
12212,3.024,1,not_promoted,no,no
12215,2.522,1,promoted,no,no
12218,2.635,0,not_promoted,no,no
12219,4.99,4,not_promoted,yes,yes
12223,3.8333333333333335,1,unknown,yes,no
12231,3.581666666666667,0,promoted,yes,no
12237,2.6950000000000003,2,not_promoted,no,yes
12238,3.076,0,promoted,no,no
12243,3.24,1,not_promoted,no,no
12248,3.8,1,not_promoted,yes,no
12250,2.6675,0,promoted,no,no
12259,0.0,0,not_promoted,no,no
12261,2.5357142857142856,3,promoted,no,no
12263,0.0,1,promoted,no,no
12268,3.1266666666666665,0,promoted,no,no
12276,2.9275,2,not_promoted,no,yes
12280,3.905,1,promoted,yes,no
12281,2.1733333333333333,2,not_promoted,no,yes
12282,1.22,0,unknown,no,no
12285,0.0,3,promoted,no,no
12286,3.1100000000000003,1,not_promoted,no,no
12291,0.0,0,promoted,no,no
12293,2.59,0,promoted,no,no
12294,2.3825000000000003,0,promoted,no,no
12303,2.59,0,promoted,no,no
12304,2.64,0,not_promoted,no,no
12310,3.558,1,promoted,yes,no
12321,3.71,0,not_promoted,yes,no
12330,3.175,0,promoted,no,no
12338,3.5,0,promoted,yes,no
12339,3.89,1,not_promoted,yes,no
12341,2.6425,1,promoted,no,no
12345,3.556666666666667,2,not_promoted,yes,yes
12346,2.55,1,promoted,no,no
12350,2.64,2,not_promoted,no,yes
12355,3.53,1,promoted,yes,no
12361,3.0075000000000003,1,promoted,no,no
12364,2.96,0,unknown,no,no
12365,2.405,0,not_promoted,no,no
12366,4.08,0,not_promoted,yes,no
12367,3.265,1,not_promoted,no,no
12371,2.5542857142857147,1,promoted,no,no
12374,2.428,0,promoted,no,no
12376,2.16,1,unknown,no,no
12383,1.5,4,not_promoted,no,yes
12385,1.71,0,not_promoted,no,no
12387,3.26,1,promoted,no,no
12391,4.6,0,unknown,yes,no
12392,0.0,1,not_promoted,no,no
12396,5.0,2,not_promoted,yes,yes
12397,3.25,1,not_promoted,no,no
12398,3.52,1,unknown,yes,no
12399,3.15,1,not_promoted,no,no
12404,3.01,2,promoted,no,no
12409,2.62,0,promoted,no,no
12410,1.28,2,not_promoted,no,yes
12422,2.34,0,not_promoted,no,no
12424,2.45,2,promoted,no,no
12426,2.815,2,not_promoted,no,yes
12427,3.826,1,not_promoted,yes,no
12428,4.54,2,not_promoted,yes,yes
12430,3.083333333333333,0,promoted,no,no
12434,3.285,4,unknown,no,yes
12440,3.4066666666666663,0,not_promoted,no,no
12441,3.695,1,not_promoted,yes,no
12442,3.53,1,promoted,yes,no
12448,2.9425,3,not_promoted,no,yes
12450,3.715,2,not_promoted,yes,yes
12453,3.4225000000000003,1,unknown,no,no
12455,2.665,0,unknown,no,no
12471,3.275,1,promoted,no,no
12474,2.4633333333333334,0,promoted,no,no
12476,2.05,1,promoted,no,no
12478,4.605,1,unknown,yes,no
12488,2.223333333333333,2,promoted,no,no
12489,3.2133333333333334,0,promoted,no,no
12496,3.563333333333333,0,unknown,yes,no
12498,3.9066666666666663,2,unknown,yes,yes
12501,3.186666666666667,0,promoted,no,no
12504,3.2675,2,promoted,no,no
12505,2.755,1,not_promoted,no,no
12519,2.155,2,promoted,no,no
12524,2.19,1,not_promoted,no,no
12530,2.536666666666666,0,not_promoted,no,no
12533,2.52,1,not_promoted,no,no
12534,3.29,1,not_promoted,no,no
12536,2.276666666666667,1,not_promoted,no,no
12538,2.44,0,not_promoted,no,no
12545,3.0075,0,promoted,no,no
12546,3.03,1,promoted,no,no
12550,2.52,2,not_promoted,no,yes
12561,3.71,0,unknown,yes,no
12562,3.5066666666666664,2,not_promoted,yes,yes
12563,2.14,0,not_promoted,no,no
12564,2.625,3,not_promoted,no,yes
12566,0.0,1,not_promoted,no,no
12568,2.462,0,promoted,no,no
12571,3.8225,2,promoted,yes,no
12574,3.03,2,not_promoted,no,yes
12578,2.4075,0,not_promoted,no,no
12579,3.99,2,not_promoted,yes,yes
12581,2.306666666666666,1,not_promoted,no,no
12583,4.17,2,not_promoted,yes,yes
12586,2.768,0,promoted,no,no
12590,2.04,1,not_promoted,no,no
12595,3.49,2,promoted,no,no
12597,3.333,0,not_promoted,no,no
12603,2.25,0,promoted,no,no
12607,3.8,1,not_promoted,yes,no
12608,3.65,3,promoted,yes,no
12612,4.653333333333333,2,promoted,yes,no
12613,1.945,0,not_promoted,no,no
12615,2.036666666666666,1,promoted,no,no
12618,3.31,2,not_promoted,no,yes
12621,2.4275,0,not_promoted,no,no
12634,2.9233333333333333,0,not_promoted,no,no
12636,4.026666666666666,1,not_promoted,yes,no
12641,2.705,2,promoted,no,no
12648,3.0900000000000003,0,not_promoted,no,no
12649,3.25,1,promoted,no,no
12654,3.953333333333333,1,promoted,yes,no
12656,3.62,0,promoted,yes,no
12658,2.4000000000000004,1,not_promoted,no,no
12659,1.29,2,promoted,no,no
12666,2.694,0,promoted,no,no
12676,1.7,1,promoted,no,no
12678,0.0,2,not_promoted,no,yes
12680,3.095,1,not_promoted,no,no
12681,3.79,1,promoted,yes,no
12691,0.0,1,not_promoted,no,no
12693,4.365,3,not_promoted,yes,yes
12696,2.115,2,unknown,no,yes
12697,2.02,0,not_promoted,no,no
12702,2.973333333333333,1,promoted,no,no
12706,3.835,1,promoted,yes,no
12710,2.4599999999999995,1,not_promoted,no,no
12712,0.0,1,not_promoted,no,no
12714,4.034000000000001,0,promoted,yes,no
12718,3.75,0,not_promoted,yes,no
12724,2.9433333333333334,3,not_promoted,no,yes
12726,2.635,1,promoted,no,no
